Enjoyed1, Fit1, Relaxed1, Rested1, Sated1, Money1, Enjoyed2, Fit2, Relaxed2, Rested2, Sated2, Money2
0.9912885,0.998185,0.9912885,0.9912885,0.998185,20,0.9912885,0.998185,0.9912885,0.9912885,0.998185,20
0.8835734,0.9926316,0.7832512,0.7832512,0.9565156,55,0.9878649,0.9974716,1,1,0.9473503,20
0.8835734,0.9926316,0.7832512,0.7832512,0.9565156,55,0.9878649,0.9974716,1,1,0.9473503,20
0.8835734,0.9926316,0.7832512,0.7832512,0.9565156,55,0.9878649,0.9974716,1,1,0.9473503,20
0.8835734,0.9926316,0.7832512,0.7832512,0.9565156,55,0.9877283,0.9974432,1,1,0.8971991,20
0.7790983,0.9884294,0.5744385,0.5744385,0.9147519,90,0.9877283,0.9974432,1,1,0.8971991,20
0.7790983,0.9884294,0.5744385,0.5744385,0.9147519,90,0.9875962,0.9974157,1,1,0.8470475,20
0.7790983,0.9884294,0.5744385,0.5744385,0.9147519,90,0.9875962,0.9974157,1,1,0.8470475,20
0.7790983,0.9884294,0.5744385,0.5744385,0.9147519,90,0.9875962,0.9974157,1,1,0.8470475,20
0.7744217,0.9874552,0.6697619,0.9197619,0.8604753,90,0.9846596,0.9968038,0.9970634,0.9970634,0.8464356,20
0.7744217,0.9874552,0.6697619,0.9197619,0.8604753,90,0.7791933,0.9918155,0.7915971,0.7915971,0.8053033,55
0.7744217,0.9874552,0.6697619,0.9197619,0.8604753,90,0.7791933,0.9918155,0.7915971,0.7915971,0.8053033,55
0.7744217,0.9874552,0.6697619,0.9197619,0.8604753,90,0.7791933,0.9918155,0.7915971,0.7915971,0.8053033,55
0.6630535,0.9822146,0.4516955,0.7016956,0.8168233,125,0.7791933,0.9918155,0.7915971,0.7915971,0.8053033,55
0.6630535,0.9822146,0.4516955,0.7016956,0.8168233,125,0.5702229,0.9876111,0.5826266,0.5826266,0.763508,90
0.6630535,0.9822146,0.4516955,0.7016956,0.8168233,125,0.5702229,0.9876111,0.5826266,0.5826266,0.763508,90
0.6630535,0.9822146,0.4516955,0.7016956,0.8168233,125,0.5702229,0.9876111,0.5826266,0.5826266,0.763508,90
1,0.8761814,0.7470217,0.6865156,0.7107901,125,0.5702229,0.9876111,0.5826266,0.5826266,0.763508,90
0.9998669,0.8761536,0.9468886,0.7363825,0.6595239,125,1,0.883525,0.8750128,0.5647628,0.659422,90
0.9997335,0.8761259,1,1,0.6082574,125,0.9998728,0.8834985,0.9748856,0.9146357,0.6082305,90
0.9997335,0.8761259,1,1,0.6082574,125,0.9998728,0.8834985,0.9748856,0.9146357,0.6082305,90
0.9997335,0.8761259,1,1,0.6082574,125,0.9998728,0.8834985,0.9748856,0.9146357,0.6082305,90
0.9997335,0.8761259,1,1,0.6082574,125,0.9998728,0.8834985,0.9748856,0.9146357,0.6082305,90
0.8925603,0.8710517,0.7903298,0.7903298,0.5662843,160,0.9997395,0.8834707,1,1,0.5570374,90
0.8925603,0.8710517,0.7903298,0.7903298,0.5662843,160,0.9997395,0.8834707,1,1,0.5570374,90
0.8925603,0.8710517,0.7903298,0.7903298,0.5662843,160,0.9997395,0.8834707,1,1,0.5570374,90
0.8925603,0.8710517,0.7903298,0.7903298,0.5662843,160,0.9997395,0.8834707,1,1,0.5570374,90
0.788228,0.8668554,0.5818014,0.5818014,0.5245775,195,0.9996114,0.883444,1,1,0.5058451,90
0.788228,0.8668554,0.5818014,0.5818014,0.5245775,195,0.9996114,0.883444,1,1,0.5058451,90
0.788228,0.8668554,0.5818014,0.5818014,0.5245775,195,0.9996114,0.883444,1,1,0.5058451,90
0.788228,0.8668554,0.5818014,0.5818014,0.5245775,195,0.9996114,0.883444,1,1,0.5058451,90
0.7835546,0.8658819,0.7771279,0.6271279,0.4713753,195,0.999474,0.8834154,1,1,0.4546507,90
0.7834235,0.8658546,0.9769969,0.6769969,0.4191822,195,0.999474,0.8834154,1,1,0.4546507,90
0.7718038,0.8634339,0.9653772,0.6653772,0.4167614,195,0.999474,0.8834154,1,1,0.4546507,90
0.7583106,0.8595763,0.951884,0.641418,0.4034844,185,0.9986754,0.883249,0.9992014,0.9992014,0.4544843,90
0.9382507,0.8553971,0.981824,0.569912,1,185,0.7871338,0.8777347,0.7876599,0.7876599,0.4121193,125
0.9381162,0.8553691,1,0.9197775,0.9485257,185,0.7871338,0.8777347,0.7876599,0.7876599,0.4121193,125
0.9381162,0.8553691,1,0.9197775,0.9485257,185,0.7871338,0.8777347,0.7876599,0.7876599,0.4121193,125
0.9381162,0.8553691,1,0.9197775,0.9485257,185,0.7871338,0.8777347,0.7876599,0.7876599,0.4121193,125
0.9381162,0.8553691,1,0.9197775,0.9485257,185,0.9795207,0.7736715,1,0.6775697,0.8105332,110
0.9379835,0.8553414,1,1,0.8970515,185,0.9795207,0.7736715,1,0.6775697,0.8105332,110
0.9379835,0.8553414,1,1,0.8970515,185,0.9651974,0.7706875,0.9856768,0.6632465,0.8075491,110
0.9379835,0.8553414,1,1,0.8970515,185,0.9566504,0.7689068,1,1,0.7534575,110
0.9379835,0.8553414,1,1,0.8970515,185,0.9566504,0.7689068,1,1,0.7534575,110
0.9377162,0.8552858,0.9997327,0.9997327,1,185,0.9566504,0.7689068,1,1,0.7534575,110
0.918428,0.8512675,0.9804446,0.9804446,0.9959817,185,0.9566504,0.7689068,1,1,0.7534575,110
1,1,1,0.9181433,0.8934188,185,1,0.7688782,1,0.9475517,1,110
0.9852981,0.996937,0.9852981,0.9034414,0.8903559,185,0.9998704,0.7688512,1,1,0.9476615,110
0.8832077,0.9925567,0.7828785,0.7010218,0.849857,220,0.9998704,0.7688512,1,1,0.9476615,110
0.8832077,0.9925567,0.7828785,0.7010218,0.849857,220,0.9998704,0.7688512,1,1,0.9476615,110
0.8832077,0.9925567,0.7828785,0.7010218,0.849857,220,0.9998704,0.7688512,1,1,0.9476615,110
0.8832077,0.9925567,0.7828785,0.7010218,0.849857,220,0.9851406,0.7657824,0.9852703,0.9852703,0.9969594,110
0.7787268,0.9883546,0.5740525,0.4921957,0.8080907,255,1,0.9622267,1,0.91783,0.8926483,110
0.7787268,0.9883546,0.5740525,0.4921957,0.8080907,255,0.991584,0.9604733,0.991584,0.9094141,0.8908949,110
0.7787268,0.9883546,0.5740525,0.4921957,0.8080907,255,0.9795733,0.9569626,0.9795733,0.8873222,0.8783112,100
0.7761907,0.9878262,0.5715163,0.4896595,0.8075624,255,0.966046,0.9531357,0.966046,0.8637061,0.8654042,90
0.7740396,0.9873781,0.6693653,0.8375082,0.7538078,255,0.9652389,0.9509486,0.9652389,0.8427089,0.8450461,70
0.7740396,0.9873781,0.6693653,0.8375082,0.7538078,255,0.9649743,0.9488737,0.9649743,0.822246,0.8247926,50
0.7740396,0.9873781,0.6693653,0.8375082,0.7538078,255,0.9647036,0.9467967,0.9647036,0.8017685,0.8045295,30
0.7740396,0.9873781,0.6693653,0.8375082,0.7538078,255,0.9644424,0.9447207,0.9644424,0.7812924,0.7842602,10
0.6626425,0.9821326,0.4512617,0.6194046,0.710148,290,0.9530382,0.9413338,0.9530382,0.7597775,0.7717737,0
0.6626425,0.9821326,0.4512617,0.6194046,0.710148,290,0.7297553,0.9329917,0.7297553,0.5364946,0.7269453,35
0.6626425,0.9821326,0.4512617,0.6194046,0.710148,290,0.7297553,0.9329917,0.7297553,0.5364946,0.7269453,35
0.6626425,0.9821326,0.4512617,0.6194046,0.710148,290,0.7297553,0.9329917,0.7297553,0.5364946,0.7269453,35
1,0.8760916,0.7465925,0.6042284,0.6041071,290,0.7297553,0.9329917,0.7297553,0.5364946,0.7269453,35
0.9999186,0.8760746,0.9465111,0.654147,0.5528508,290,0.7231361,0.9316128,0.8231362,0.8798754,0.6727977,35
0.9996454,0.8760177,1,1,0.6015541,290,0.7231361,0.9316128,0.8231362,0.8798754,0.6727977,35
0.9996454,0.8760177,1,1,0.6015541,290,0.7231361,0.9316128,0.8231362,0.8798754,0.6727977,35
0.9996454,0.8760177,1,1,0.6015541,290,0.7231361,0.9316128,0.8231362,0.8798754,0.6727977,35
0.9996454,0.8760177,1,1,0.6015541,290,0.9230034,0.9315852,0.8730035,0.8284728,1,35
0.8924392,0.870937,0.7902945,0.7902945,0.5595737,325,0.922859,0.9315551,0.972859,1,0.9491985,35
0.8924392,0.870937,0.7902945,0.7902945,0.5595737,325,0.922859,0.9315551,0.972859,1,0.9491985,35
0.8924392,0.870937,0.7902945,0.7902945,0.5595737,325,0.922859,0.9315551,0.972859,1,0.9491985,35
0.8924392,0.870937,0.7902945,0.7902945,0.5595737,325,0.922859,0.9315551,0.972859,1,0.9491985,35
0.7881008,0.8667397,0.5817593,0.5817593,0.5178655,360,0.9227259,0.9315274,0.972726,0.999867,1,35
0.7881008,0.8667397,0.5817593,0.5817593,0.5178655,360,0.906204,0.9280853,0.9562041,0.9833451,0.9991364,35
0.7881008,0.8667397,0.5817593,0.5817593,0.5178655,360,0.8901901,0.924749,0.9401901,0.9673311,0.9983763,35
0.7881008,0.8667397,0.5817593,0.5817593,0.5178655,360,0.8732592,0.9212219,0.9232593,0.9504002,1,35
1,0.7630715,0.8770397,0.5667711,0.4141973,360,0.8608785,0.9186424,1,1,0.9460293,35
0.9881575,0.7606044,0.8651972,0.5549287,0.4117301,360,0.8608785,0.9186424,1,1,0.9460293,35
0.9802347,0.7589536,0.8572744,0.5470059,0.6100793,360,0.8608785,0.9186424,1,1,0.9460293,35
0.9627537,0.7553116,0.8397933,0.5295248,0.7064373,360,0.8608785,0.9186424,1,1,0.9460293,35
0.9502396,0.7527044,0.9272793,0.8670107,0.7513573,360,0.6473877,0.9129373,0.7865093,0.7865093,0.9032677,70
0.9502396,0.7527044,0.9272793,0.8670107,0.7513573,360,0.6473877,0.9129373,0.7865093,0.7865093,0.9032677,70
0.9502396,0.7527044,0.9272793,0.8670107,0.7513573,360,0.6473877,0.9129373,0.7865093,0.7865093,0.9032677,70
0.9502396,0.7527044,0.9272793,0.8670107,0.7513573,360,0.6473877,0.9129373,0.7865093,0.7865093,0.9032677,70
0.9499749,0.7526493,0.9270146,0.866746,0.9513022,360,0.6399912,0.9113963,0.7791128,0.7791128,0.9017267,70
0.9498317,0.7526195,1,1,0.8987986,360,1,0.8095676,1,0.7686688,0.7998979,70
0.9498317,0.7526195,1,1,0.8987986,360,0.9997163,0.8095084,1,1,0.8479339,70
0.9498317,0.7526195,1,1,0.8987986,360,0.9997163,0.8095084,1,1,0.8479339,70
0.9498317,0.7526195,1,1,0.8987986,360,0.9997163,0.8095084,1,1,0.8479339,70
0.9441765,0.7514414,0.9943448,0.9943448,0.9988797,360,0.9997163,0.8095084,1,1,0.8479339,70
0.9201379,0.7464336,0.9703062,0.9703062,0.9938718,360,1,0.80948,1,0.9479584,1,70
1,0.9459581,1,0.9174834,0.8923155,360,1,1,1,0.878502,0.8959471,70
0.8823693,0.9384787,0.7812197,0.6987032,0.8484223,395,0.9979817,0.9995795,0.9979817,0.8764837,0.8955266,70
0.8823693,0.9384787,0.7812197,0.6987032,0.8484223,395,0.9805259,0.9959427,0.9805259,0.8590279,0.9918898,70
0.8823693,0.9384787,0.7812197,0.6987032,0.8484223,395,0.9803951,0.9959155,1,1,0.9416665,70
0.8823693,0.9384787,0.7812197,0.6987032,0.8484223,395,0.9803951,0.9959155,1,1,0.9416665,70
0.7778537,0.934275,0.5723258,0.4898092,0.8066424,430,0.9803951,0.9959155,1,1,0.9416665,70
0.7778537,0.934275,0.5723258,0.4898092,0.8066424,430,0.9801317,0.9958606,1,1,0.891413,70
0.7778537,0.934275,0.5723258,0.4898092,0.8066424,430,0.9801317,0.9958606,1,1,0.891413,70
0.7778537,0.934275,0.5723258,0.4898092,0.8066424,430,0.9801317,0.9958606,1,1,0.891413,70
0.7732384,0.9333138,0.6677105,0.8351939,0.7523583,430,0.9801317,0.9958606,1,1,0.891413,70
0.7732384,0.9333138,0.6677105,0.8351939,0.7523583,430,0.9742181,0.9946286,0.9940864,0.9940864,0.890181,70
0.7732384,0.9333138,0.6677105,0.8351939,0.7523583,430,0.9677435,0.9932799,1,1,0.8385098,70
0.7732384,0.9333138,0.6677105,0.8351939,0.7523583,430,0.9677435,0.9932799,1,1,0.8385098,70
0.6617658,0.9280582,0.4494975,0.6169808,0.7086761,465,0.9677435,0.9932799,1,1,0.8385098,70
0.6617658,0.9280582,0.4494975,0.6169808,0.7086761,465,0.9677435,0.9932799,1,1,0.8385098,70
0.6617658,0.9280582,0.4494975,0.6169808,0.7086761,465,1,0.993252,1,0.9497986,1,70
0.6617658,0.9280582,0.4494975,0.6169808,0.7086761,465,0.9998684,0.9932246,1,1,0.9499048,70
1,0.8219929,0.7448751,0.6018482,0.6026108,465,0.9998684,0.9932246,1,1,0.9499048,70
0.9998667,0.8219651,0.9447417,0.6517149,0.5508026,465,0.9998684,0.9932246,1,1,0.9499048,70
0.9995944,0.8219084,1,1,0.598965,465,0.9997323,0.9931962,0.9998639,0.9998639,1,70
0.9995944,0.8219084,1,1,0.598965,465,0.9874431,0.9906358,0.9875747,0.9875747,1,70
0.9995944,0.8219084,1,1,0.598965,465,0.9718109,0.9873788,0.9719425,0.9719425,0.9993245,70
0.9995944,0.8219084,1,1,0.598965,465,0.9543114,0.9837328,0.954443,0.954443,0.9982601,70
0.8912979,0.8167823,0.788122,0.788122,0.5565495,500,0.9378805,0.9803087,0.9380121,0.9380121,1,70
0.8912979,0.8167823,0.788122,0.788122,0.5565495,500,0.9254931,0.9777277,0.9256247,0.9256247,1,70
0.8912979,0.8167823,0.788122,0.788122,0.5565495,500,0.9114665,0.9748054,0.9115981,0.9115981,0.9996331,70
0.8912979,0.8167823,0.788122,0.788122,0.5565495,500,0.9009358,0.9726116,1,1,0.9464487,70
0.7869184,0.8125837,0.5795021,0.5795021,0.5148245,535,0.9009358,0.9726116,1,1,0.9464487,70
0.7869184,0.8125837,0.5795021,0.5795021,0.5148245,535,0.9009358,0.9726116,1,1,0.9464487,70
0.7869184,0.8125837,0.5795021,0.5795021,0.5148245,535,0.9009358,0.9726116,1,1,0.9464487,70
0.7869184,0.8125837,0.5795021,0.5795021,0.5148245,535,1,0.9725825,1,0.949586,1,70
1,0.7078345,0.8747922,0.5644154,0.4100753,535,0.9998634,0.972554,1,1,0.9496971,70
0.997159,0.7072427,0.8719512,0.5615744,0.4094833,535,0.9998634,0.972554,1,1,0.9496971,70
0.9875836,0.7052481,0.9623758,0.901999,0.3545409,535,0.9998634,0.972554,1,1,0.9496971,70
0.9875836,0.7052481,0.9623758,0.901999,0.3545409,535,0.9998634,0.972554,1,1,0.9496971,70
0.9875836,0.7052481,0.9623758,0.901999,0.3545409,535,0.9884081,0.970167,0.9885447,0.9885447,0.9976406,70
0.9875836,0.7052481,0.9623758,0.901999,0.3545409,535,0.987448,0.969967,1,1,0.9471402,70
0.9871789,0.7051637,1,1,0.5015082,535,0.987448,0.969967,1,1,0.9471402,70
0.9871789,0.7051637,1,1,0.5015082,535,0.987448,0.969967,1,1,0.9471402,70
0.9871789,0.7051637,1,1,0.5015082,535,1,0.9699395,1,0.9495675,1,70
0.9871789,0.7051637,1,1,0.5015082,535,0.9998655,0.9699115,1,1,0.9496711,70
0.9870456,0.7051359,0.9998667,0.9998667,0.6014805,535,0.9998655,0.9699115,1,1,0.9496711,70
0.9866422,0.7050519,0.9994633,0.9994633,0.9013965,535,0.9998655,0.9699115,1,1,0.9496711,70
0.9819294,0.70407,0.9947504,0.9947504,0.9990746,535,0.9998655,0.9699115,1,1,0.9496711,70
0.9644255,0.7004235,0.9772466,0.9772466,0.997986,535,0.9997276,0.9698828,0.9998621,0.9998621,1,70
0.9493619,0.6972853,0.9621829,0.9621829,1,535,0.9839809,0.9666021,0.9841154,0.9841154,0.9992958,70
0.9369727,0.694704,0.9497938,0.9497938,1,535,0.9664872,0.9629577,0.9666216,0.9666216,0.9982346,70
0.8138444,0.6869251,0.7204889,0.7204889,0.9539976,570,0.962562,0.9621401,1,1,0.9470384,70
0.8138444,0.6869251,0.7204889,0.7204889,0.9539976,570,0.962562,0.9621401,1,1,0.9470384,70
0.8138444,0.6869251,0.7204889,0.7204889,0.9539976,570,0.962562,0.9621401,1,1,0.9470384,70
0.8138444,0.6869251,0.7204889,0.7204889,0.9539976,570,0.962562,0.9621401,1,1,0.9470384,70
0.7074462,0.6826463,0.5078287,0.5078287,0.9114643,605,1,0.9621115,1,0.9494839,1,70
0.7074462,0.6826463,0.5078287,0.5078287,0.9114643,605,0.9998718,0.9620848,1,1,0.9495941,70
